TransactionID,Date,CustomerID,Age,Gender,Location,ProductID,Category,Quantity, UnitPrice , Sales ,PaymentType,PromotionApplied,DiscountAmount,Total Amount,GiftWrap,Event,CustomerSatisfaction,ReturnFlag
33,05-12-2023,26,54,Other,City_12,318,Clothing,5, $24.40 , $121.99 ,Online Payment,FALSE,12.19881436, $109.79 ,TRUE,Black Friday,3,TRUE
34,07-11-2018,215,24,Male,City_2,427,Decorations,5, $66.24 , $331.21 ,Cash,FALSE,0, $331.21 ,TRUE,Christmas Market,1,TRUE
35,15-11-2019,179,67,Male,City_7,813,Clothing,1, $91.74 , $91.74 ,Credit Card,TRUE,0, $91.74 ,FALSE,Christmas Market,5,TRUE
36,11-11-2018,377,28,Male,City_9,718,Electronics,3, $20.09 , $60.26 ,Debit Card,TRUE,0, $60.26 ,FALSE,Christmas Market,1,TRUE
37,19-12-2018,177,69,Other,City_9,228,Electronics,3, $44.44 , $133.31 ,Online Payment,TRUE,0, $133.31 ,FALSE,Christmas Market,3,TRUE
38,17-11-2022,168,54,Other,City_9,924,Electronics,5, $74.10 , $370.48 ,Credit Card,FALSE,0, $370.48 ,TRUE,Christmas Market,5,TRUE
39,18-12-2022,184,39,Female,City_13,513,Food,5, $31.62 , $158.08 ,Debit Card,TRUE,15.80814987, $142.27 ,FALSE,Black Friday,4,FALSE
40,17-11-2019,288,45,Other,City_4,146,Clothing,2, $18.43 , $36.86 ,Debit Card,FALSE,0, $36.86 ,TRUE,None,3,TRUE
41,21-12-2021,359,62,Other,City_6,122,Food,2, $93.33 , $186.65 ,Cash,TRUE,0, $186.65 ,FALSE,None,2,TRUE
42,22-12-2021,204,59,Male,City_7,68,Food,4, $57.37 , $229.47 ,Debit Card,TRUE,0, $229.47 ,FALSE,None,2,FALSE
43,16-11-2023,15,42,Female,City_7,171,Electronics,3, $77.62 , $232.87 ,Cash,TRUE,0, $232.87 ,TRUE,None,3,FALSE
44,04-11-2020,292,34,Other,City_9,759,Decorations,4, $87.61 , $350.43 ,Debit Card,FALSE,0, $350.43 ,FALSE,None,1,TRUE
45,12-11-2019,292,42,Female,City_6,793,Clothing,3, $33.00 , $98.99 ,Online Payment,FALSE,9.898869269, $89.09 ,TRUE,Black Friday,3,TRUE
46,24-12-2019,13,23,Other,City_5,968,Electronics,5, $85.11 , $425.56 ,Credit Card,FALSE,0, $425.56 ,TRUE,None,3,FALSE
47,03-11-2020,317,69,Female,City_2,348,Clothing,3, $87.59 , $262.77 ,Cash,FALSE,0, $262.77 ,FALSE,Christmas Market,5,FALSE
48,22-11-2022,448,33,Male,City_5,722,Electronics,2, $67.92 , $135.85 ,Online Payment,TRUE,0, $135.85 ,TRUE,Christmas Market,4,TRUE
49,30-11-2019,333,57,Other,City_6,525,Electronics,4, $99.89 , $399.58 ,Cash,TRUE,0, $399.58 ,FALSE,None,5,FALSE
50,15-12-2019,403,28,Female,City_7,2,Clothing,1, $27.79 , $27.79 ,Debit Card,TRUE,0, $27.79 ,TRUE,None,2,FALSE
51,22-11-2018,144,68,Female,City_1,576,Toys,2, $91.29 , $182.57 ,Debit Card,FALSE,18.25720191, $164.31 ,FALSE,Black Friday,2,TRUE
52,16-12-2023,166,37,Male,City_2,898,Clothing,1, $89.65 , $89.65 ,Debit Card,TRUE,0, $89.65 ,TRUE,Christmas Market,4,TRUE
53,27-12-2022,50,57,Other,City_1,559,Food,1, $43.67 , $43.67 ,Credit Card,FALSE,0, $43.67 ,TRUE,Christmas Market,1,FALSE
54,26-12-2020,419,22,Other,City_2,704,Electronics,2, $92.31 , $184.61 ,Debit Card,TRUE,18.46107082, $166.15 ,FALSE,Black Friday,2,TRUE
55,04-11-2022,455,66,Other,City_18,399,Decorations,5, $31.49 , $157.44 ,Cash,FALSE,0, $157.44 ,FALSE,Christmas Market,4,FALSE
56,15-12-2021,64,36,Other,City_18,912,Toys,3, $45.08 , $135.24 ,Debit Card,FALSE,13.5241602, $121.72 ,TRUE,Black Friday,4,TRUE
57,22-11-2019,130,57,Male,City_6,95,Decorations,2, $24.44 , $48.88 ,Credit Card,TRUE,0, $48.88 ,FALSE,None,1,TRUE
58,24-12-2023,167,47,Other,City_10,51,Decorations,1, $93.89 , $93.89 ,Online Payment,FALSE,0, $93.89 ,FALSE,None,4,FALSE
59,30-12-2021,253,34,Other,City_15,492,Electronics,2, $65.87 , $131.74 ,Cash,TRUE,0, $131.74 ,TRUE,None,5,FALSE
60,13-12-2020,283,31,Other,City_20,433,Electronics,1, $19.96 , $19.96 ,Debit Card,TRUE,0, $19.96 ,FALSE,None,4,FALSE
61,26-11-2018,289,18,Male,City_6,420,Electronics,1, $24.24 , $24.24 ,Cash,FALSE,2.424178761, $21.82 ,TRUE,Black Friday,1,TRUE
62,12-11-2023,292,46,Female,City_13,641,Decorations,2, $52.29 , $104.58 ,Debit Card,TRUE,0, $104.58 ,TRUE,None,5,FALSE
63,02-11-2018,191,33,Female,City_10,648,Clothing,5, $56.26 , $281.30 ,Debit Card,FALSE,0, $281.30 ,FALSE,Christmas Market,3,TRUE
64,30-12-2020,401,55,Female,City_12,480,Electronics,2, $80.86 , $161.73 ,Credit Card,TRUE,16.17271918, $145.55 ,TRUE,Black Friday,4,FALSE
65,25-11-2022,172,69,Female,City_9,801,Decorations,3, $10.87 , $32.60 ,Debit Card,TRUE,3.259668985, $29.34 ,TRUE,Black Friday,1,FALSE
66,07-11-2021,380,23,Other,City_12,454,Toys,5, $96.34 , $481.69 ,Debit Card,TRUE,0, $481.69 ,TRUE,None,5,TRUE
67,26-12-2019,273,57,Other,City_2,313,Decorations,2, $29.16 , $58.33 ,Cash,FALSE,0, $58.33 ,FALSE,None,3,TRUE
68,24-12-2020,497,66,Other,City_2,670,Clothing,4, $68.75 , $275.01 ,Debit Card,FALSE,27.50096947, $247.51 ,FALSE,Black Friday,5,TRUE
69,26-12-2020,57,44,Female,City_13,280,Decorations,1, $83.71 , $83.71 ,Credit Card,TRUE,0, $83.71 ,TRUE,Christmas Market,1,TRUE
70,09-12-2020,337,48,Other,City_2,492,Electronics,4, $34.53 , $138.13 ,Online Payment,TRUE,0, $138.13 ,FALSE,None,4,TRUE
71,22-12-2021,43,49,Male,City_11,479,Toys,4, $45.03 , $180.13 ,Cash,FALSE,0, $180.13 ,TRUE,None,5,TRUE
72,16-12-2023,137,62,Male,City_16,261,Toys,1, $12.66 , $12.66 ,Online Payment,FALSE,1.265823407, $11.39 ,TRUE,Black Friday,2,FALSE
73,06-11-2020,13,35,Other,City_20,95,Clothing,3, $75.31 , $225.93 ,Debit Card,TRUE,0, $225.93 ,FALSE,Christmas Market,3,FALSE
74,16-11-2018,379,54,Female,City_15,535,Toys,1, $98.41 , $98.41 ,Cash,TRUE,0, $98.41 ,TRUE,Christmas Market,4,FALSE
75,18-12-2019,370,39,Male,City_7,947,Electronics,5, $10.49 , $52.47 ,Cash,FALSE,0, $52.47 ,TRUE,None,3,FALSE
76,08-12-2018,246,25,Other,City_6,21,Food,3, $66.64 , $199.91 ,Credit Card,FALSE,19.99124703, $179.92 ,TRUE,Black Friday,2,TRUE
77,12-12-2021,20,53,Male,City_3,368,Clothing,2, $58.07 , $116.13 ,Credit Card,FALSE,11.6134105, $104.52 ,TRUE,Black Friday,4,FALSE
78,03-12-2022,309,53,Male,City_14,948,Decorations,2, $67.76 , $135.51 ,Cash,TRUE,0, $135.51 ,TRUE,None,4,TRUE
79,24-12-2020,176,30,Female,City_15,280,Clothing,5, $73.72 , $368.58 ,Cash,TRUE,36.85847522, $331.73 ,FALSE,Black Friday,3,FALSE
80,17-11-2021,457,26,Female,City_10,704,Electronics,5, $36.97 , $184.84 ,Online Payment,FALSE,0, $184.84 ,TRUE,None,5,FALSE
81,11-12-2022,395,66,Male,City_1,162,Clothing,3, $79.68 , $239.05 ,Credit Card,FALSE,23.90512215, $215.15 ,TRUE,Black Friday,2,TRUE
82,27-11-2018,141,19,Male,City_19,403,Food,1, $63.45 , $63.45 ,Debit Card,TRUE,6.344909304, $57.10 ,TRUE,Black Friday,1,FALSE
83,25-12-2022,424,40,Other,City_7,514,Electronics,3, $10.90 , $32.71 ,Cash,FALSE,3.271337658, $29.44 ,TRUE,Black Friday,3,FALSE
84,14-12-2022,285,57,Male,City_11,42,Clothing,1, $18.37 , $18.37 ,Online Payment,TRUE,1.837414743, $16.54 ,TRUE,Black Friday,4,FALSE
85,04-11-2018,88,51,Male,City_1,702,Electronics,2, $69.03 , $138.06 ,Credit Card,TRUE,0, $138.06 ,FALSE,Christmas Market,2,FALSE
86,08-12-2020,88,39,Male,City_18,154,Toys,4, $59.31 , $237.24 ,Online Payment,FALSE,0, $237.24 ,FALSE,Christmas Market,4,FALSE
87,09-12-2018,266,19,Female,City_10,877,Electronics,3, $52.22 , $156.65 ,Credit Card,FALSE,15.66529234, $140.99 ,TRUE,Black Friday,2,TRUE
88,21-11-2019,271,29,Other,City_11,572,Clothing,2, $13.14 , $26.28 ,Debit Card,FALSE,0, $26.28 ,TRUE,Christmas Market,1,FALSE
89,26-11-2023,197,32,Female,City_6,895,Electronics,4, $85.07 , $340.27 ,Cash,TRUE,34.02684948, $306.24 ,TRUE,Black Friday,4,FALSE
90,30-11-2023,155,49,Other,City_17,509,Electronics,3, $85.37 , $256.12 ,Credit Card,TRUE,25.61227152, $230.51 ,TRUE,Black Friday,5,FALSE
91,18-11-2018,483,70,Other,City_15,210,Electronics,2, $75.50 , $151.00 ,Cash,FALSE,15.09973336, $135.90 ,TRUE,Black Friday,3,FALSE
92,08-11-2022,454,62,Other,City_20,494,Toys,4, $39.94 , $159.76 ,Online Payment,TRUE,0, $159.76 ,FALSE,None,4,TRUE
93,07-11-2023,53,32,Other,City_12,914,Decorations,2, $93.49 , $186.98 ,Credit Card,FALSE,18.69800693, $168.28 ,TRUE,Black Friday,3,FALSE
94,11-11-2020,113,33,Male,City_9,364,Electronics,1, $68.46 , $68.46 ,Online Payment,TRUE,0, $68.46 ,FALSE,None,5,TRUE
95,17-12-2022,411,40,Female,City_16,615,Food,1, $64.59 , $64.59 ,Cash,FALSE,6.458862125, $58.13 ,FALSE,Black Friday,4,FALSE
96,25-11-2018,464,51,Female,City_5,488,Electronics,5, $10.54 , $52.72 ,Cash,FALSE,5.271943756, $47.45 ,TRUE,Black Friday,2,FALSE
97,08-12-2019,475,23,Female,City_19,453,Clothing,5, $67.64 , $338.19 ,Cash,TRUE,0, $338.19 ,TRUE,Christmas Market,2,FALSE
98,18-12-2022,176,69,Other,City_18,792,Clothing,5, $31.49 , $157.47 ,Credit Card,TRUE,0, $157.47 ,FALSE,Christmas Market,2,FALSE
99,04-11-2022,9,69,Male,City_20,936,Electronics,2, $23.88 , $47.75 ,Cash,TRUE,0, $47.75 ,TRUE,Christmas Market,5,TRUE
100,03-11-2022,120,19,Other,City_8,13,Food,4, $20.04 , $80.17 ,Debit Card,FALSE,0, $80.17 ,TRUE,Christmas Market,2,FALSE
101,03-12-2023,420,21,Male,City_6,374,Decorations,1, $82.22 , $82.22 ,Credit Card,FALSE,8.222127485, $74.00 ,FALSE,Black Friday,4,FALSE
102,17-12-2018,93,43,Other,City_18,209,Decorations,5, $24.84 , $124.21 ,Online Payment,FALSE,0, $124.21 ,FALSE,None,1,FALSE
103,28-12-2021,266,21,Other,City_5,776,Decorations,1, $93.33 , $93.33 ,Cash,FALSE,0, $93.33 ,TRUE,Christmas Market,2,FALSE
104,06-12-2018,312,60,Other,City_4,379,Decorations,1, $48.95 , $48.95 ,Cash,TRUE,0, $48.95 ,FALSE,Christmas Market,2,FALSE
105,09-11-2018,285,22,Female,City_11,752,Decorations,5, $60.93 , $304.63 ,Online Payment,TRUE,0, $304.63 ,TRUE,Christmas Market,2,FALSE
106,30-12-2018,3,64,Female,City_18,530,Decorations,1, $58.36 , $58.36 ,Debit Card,FALSE,5.836473136, $52.53 ,FALSE,Black Friday,2,TRUE
107,31-12-2020,358,30,Female,City_1,365,Electronics,2, $26.57 , $53.15 ,Online Payment,TRUE,5.314982698, $47.83 ,FALSE,Black Friday,1,FALSE
108,25-12-2020,164,26,Other,City_9,485,Clothing,3, $44.55 , $133.65 ,Cash,FALSE,13.36512008, $120.29 ,FALSE,Black Friday,5,FALSE
109,02-11-2019,161,41,Female,City_9,605,Food,2, $52.43 , $104.85 ,Debit Card,TRUE,0, $104.85 ,TRUE,Christmas Market,3,TRUE
110,17-11-2018,417,26,Male,City_18,176,Electronics,3, $28.07 , $84.22 ,Debit Card,FALSE,8.421863021, $75.80 ,FALSE,Black Friday,5,FALSE
111,20-12-2018,471,63,Other,City_17,58,Toys,1, $90.03 , $90.03 ,Credit Card,TRUE,0, $90.03 ,TRUE,None,2,TRUE
112,27-11-2018,401,36,Other,City_2,73,Clothing,1, $93.28 , $93.28 ,Debit Card,FALSE,9.328315006, $83.95 ,FALSE,Black Friday,2,FALSE
113,20-11-2022,305,47,Female,City_13,434,Decorations,2, $95.05 , $190.10 ,Online Payment,TRUE,0, $190.10 ,FALSE,None,4,FALSE
114,26-11-2023,373,40,Female,City_13,187,Toys,5, $15.40 , $77.01 ,Credit Card,TRUE,7.700515944, $69.30 ,FALSE,Black Friday,2,FALSE
115,05-11-2023,226,44,Female,City_13,426,Decorations,1, $93.87 , $93.87 ,Cash,FALSE,0, $93.87 ,TRUE,None,1,TRUE
116,14-12-2020,429,55,Male,City_16,838,Decorations,5, $85.63 , $428.14 ,Online Payment,TRUE,0, $428.14 ,FALSE,None,2,FALSE
117,31-12-2019,304,65,Other,City_10,566,Electronics,4, $16.80 , $67.22 ,Online Payment,FALSE,0, $67.22 ,TRUE,Christmas Market,1,TRUE
118,25-12-2019,30,46,Other,City_16,335,Food,3, $63.80 , $191.41 ,Credit Card,TRUE,19.14090836, $172.27 ,TRUE,Black Friday,4,TRUE
119,27-12-2020,72,30,Female,City_1,956,Decorations,2, $43.83 , $87.66 ,Credit Card,TRUE,0, $87.66 ,FALSE,None,2,FALSE
120,12-11-2020,45,41,Other,City_4,415,Toys,5, $41.25 , $206.26 ,Online Payment,TRUE,0, $206.26 ,FALSE,Christmas Market,1,FALSE
121,01-11-2023,466,67,Male,City_6,620,Decorations,3, $56.71 , $170.13 ,Cash,TRUE,17.01302981, $153.12 ,TRUE,Black Friday,2,FALSE
122,08-12-2021,291,65,Other,City_11,512,Food,2, $43.52 , $87.04 ,Credit Card,TRUE,0, $87.04 ,FALSE,Christmas Market,2,TRUE
123,16-12-2021,317,70,Male,City_10,987,Electronics,1, $96.27 , $96.27 ,Credit Card,FALSE,9.627042319, $86.64 ,FALSE,Black Friday,1,FALSE
124,21-12-2023,371,55,Male,City_3,638,Toys,1, $12.53 , $12.53 ,Online Payment,TRUE,0, $12.53 ,FALSE,Christmas Market,2,TRUE
125,13-11-2023,467,26,Female,City_15,139,Toys,4, $78.02 , $312.08 ,Online Payment,FALSE,31.20810149, $280.87 ,TRUE,Black Friday,1,FALSE
126,18-11-2020,457,47,Male,City_3,719,Toys,1, $32.83 , $32.83 ,Credit Card,FALSE,0, $32.83 ,FALSE,None,3,TRUE
127,29-12-2023,434,43,Female,City_5,141,Decorations,2, $64.58 , $129.16 ,Online Payment,FALSE,12.91586575, $116.24 ,TRUE,Black Friday,2,TRUE
128,21-12-2023,19,54,Other,City_9,145,Toys,2, $33.23 , $66.46 ,Online Payment,TRUE,0, $66.46 ,FALSE,Christmas Market,2,FALSE
129,16-12-2019,333,36,Female,City_19,396,Electronics,5, $60.58 , $302.91 ,Online Payment,TRUE,30.29079159, $272.62 ,FALSE,Black Friday,1,FALSE
130,04-11-2018,75,48,Female,City_4,375,Toys,1, $62.24 , $62.24 ,Cash,FALSE,6.224178934, $56.02 ,TRUE,Black Friday,2,TRUE
131,19-11-2023,471,37,Other,City_13,894,Clothing,2, $79.34 , $158.69 ,Debit Card,FALSE,15.86899944, $142.82 ,TRUE,Black Friday,4,FALSE
132,16-11-2018,137,53,Female,City_4,343,Food,2, $64.21 , $128.42 ,Online Payment,TRUE,0, $128.42 ,TRUE,None,1,TRUE
133,13-12-2019,227,29,Female,City_5,263,Food,3, $30.37 , $91.10 ,Debit Card,FALSE,9.110118163, $81.99 ,FALSE,Black Friday,3,TRUE
134,03-11-2021,254,63,Other,City_13,702,Toys,4, $34.59 , $138.36 ,Online Payment,TRUE,13.83597881, $124.52 ,FALSE,Black Friday,3,TRUE
135,30-12-2023,359,45,Male,City_11,201,Electronics,5, $42.87 , $214.33 ,Cash,TRUE,0, $214.33 ,TRUE,None,1,TRUE
136,06-12-2022,417,21,Other,City_10,832,Clothing,3, $79.65 , $238.94 ,Credit Card,TRUE,0, $238.94 ,FALSE,None,2,FALSE
137,08-12-2020,417,70,Other,City_18,686,Clothing,2, $74.92 , $149.84 ,Debit Card,FALSE,0, $149.84 ,FALSE,Christmas Market,3,FALSE
138,27-11-2019,232,39,Female,City_9,24,Food,4, $19.84 , $79.35 ,Credit Card,TRUE,7.934602674, $71.41 ,TRUE,Black Friday,1,TRUE
139,21-11-2021,217,64,Female,City_7,774,Food,5, $20.25 , $101.23 ,Online Payment,TRUE,10.12253853, $91.10 ,FALSE,Black Friday,3,FALSE
140,01-11-2019,94,45,Male,City_14,209,Clothing,3, $66.87 , $200.62 ,Cash,FALSE,20.06195331, $180.56 ,TRUE,Black Friday,1,FALSE
141,08-12-2022,401,65,Other,City_8,401,Toys,5, $79.08 , $395.40 ,Cash,FALSE,0, $395.40 ,TRUE,Christmas Market,2,FALSE
142,19-11-2021,186,47,Female,City_11,734,Electronics,5, $95.92 , $479.59 ,Cash,TRUE,47.95897051, $431.63 ,FALSE,Black Friday,5,FALSE
143,01-12-2018,378,27,Other,City_14,182,Clothing,2, $97.69 , $195.38 ,Credit Card,TRUE,0, $195.38 ,FALSE,Christmas Market,5,TRUE
144,20-11-2023,212,49,Female,City_11,38,Clothing,3, $94.73 , $284.18 ,Debit Card,FALSE,0, $284.18 ,FALSE,Christmas Market,4,TRUE
145,09-12-2022,68,59,Female,City_8,366,Decorations,4, $72.92 , $291.68 ,Credit Card,TRUE,0, $291.68 ,FALSE,Christmas Market,2,FALSE
146,22-12-2021,143,37,Female,City_16,484,Electronics,4, $34.71 , $138.85 ,Online Payment,FALSE,0, $138.85 ,FALSE,Christmas Market,3,FALSE
147,27-12-2020,370,33,Female,City_19,915,Decorations,3, $40.27 , $120.80 ,Credit Card,FALSE,0, $120.80 ,FALSE,None,3,FALSE
148,12-11-2018,98,36,Male,City_16,970,Toys,4, $39.10 , $156.41 ,Debit Card,TRUE,15.64052122, $140.76 ,TRUE,Black Friday,2,FALSE
149,24-12-2020,331,66,Female,City_2,129,Electronics,4, $74.56 , $298.26 ,Credit Card,TRUE,0, $298.26 ,FALSE,None,2,FALSE
150,04-11-2019,78,64,Other,City_8,357,Food,3, $15.78 , $47.35 ,Credit Card,FALSE,0, $47.35 ,FALSE,Christmas Market,1,TRUE
151,06-11-2018,432,34,Other,City_9,419,Clothing,4, $53.57 , $214.29 ,Credit Card,TRUE,0, $214.29 ,TRUE,Christmas Market,2,TRUE
152,24-12-2018,307,42,Male,City_19,795,Food,1, $63.99 , $63.99 ,Debit Card,FALSE,6.399392168, $57.59 ,FALSE,Black Friday,2,FALSE
153,23-11-2021,159,62,Female,City_4,878,Electronics,4, $46.71 , $186.84 ,Debit Card,TRUE,18.68392017, $168.16 ,FALSE,Black Friday,5,FALSE
154,05-12-2021,161,61,Male,City_19,184,Electronics,1, $99.40 , $99.40 ,Credit Card,FALSE,0, $99.40 ,FALSE,None,2,FALSE
155,04-12-2020,435,44,Male,City_5,522,Clothing,3, $29.57 , $88.70 ,Debit Card,FALSE,8.870149968, $79.83 ,TRUE,Black Friday,1,FALSE
156,20-11-2023,341,44,Male,City_10,56,Food,4, $44.25 , $177.02 ,Online Payment,TRUE,0, $177.02 ,TRUE,Christmas Market,5,TRUE
157,27-11-2018,345,64,Other,City_7,212,Electronics,3, $82.18 , $246.54 ,Debit Card,TRUE,24.65438195, $221.89 ,FALSE,Black Friday,3,FALSE
158,06-11-2018,4,42,Female,City_16,195,Clothing,1, $49.98 , $49.98 ,Online Payment,TRUE,0, $49.98 ,TRUE,Christmas Market,3,FALSE
159,23-12-2022,336,18,Male,City_1,286,Electronics,5, $36.31 , $181.53 ,Online Payment,TRUE,0, $181.53 ,TRUE,None,1,TRUE
160,19-12-2023,412,36,Female,City_2,687,Clothing,5, $92.82 , $464.09 ,Credit Card,TRUE,0, $464.09 ,FALSE,Christmas Market,5,TRUE
161,01-12-2023,227,21,Other,City_4,230,Clothing,3, $69.84 , $209.52 ,Debit Card,FALSE,0, $209.52 ,TRUE,None,3,FALSE
162,14-12-2019,467,67,Male,City_3,245,Toys,2, $53.54 , $107.07 ,Cash,FALSE,10.70744601, $96.37 ,TRUE,Black Friday,2,TRUE
163,08-12-2019,464,60,Other,City_9,846,Decorations,2, $42.23 , $84.46 ,Debit Card,FALSE,0, $84.46 ,FALSE,None,4,TRUE
164,26-11-2023,477,51,Male,City_11,149,Food,5, $71.93 , $359.66 ,Credit Card,FALSE,35.96643737, $323.70 ,TRUE,Black Friday,3,TRUE
165,08-11-2023,225,62,Male,City_3,898,Decorations,5, $78.98 , $394.91 ,Credit Card,TRUE,0, $394.91 ,FALSE,None,1,TRUE
166,16-12-2022,455,38,Other,City_8,356,Electronics,3, $25.98 , $77.93 ,Cash,FALSE,0, $77.93 ,FALSE,Christmas Market,3,TRUE
167,11-12-2020,422,22,Male,City_8,219,Toys,2, $22.87 , $45.73 ,Cash,FALSE,0, $45.73 ,TRUE,Christmas Market,5,FALSE
168,06-11-2018,436,69,Other,City_6,461,Electronics,3, $40.08 , $120.23 ,Cash,TRUE,0, $120.23 ,TRUE,None,3,TRUE
169,20-12-2022,477,33,Female,City_14,323,Clothing,1, $35.68 , $35.68 ,Online Payment,TRUE,3.567846526, $32.11 ,FALSE,Black Friday,4,TRUE
170,10-12-2019,302,28,Female,City_9,971,Toys,1, $39.11 , $39.11 ,Online Payment,TRUE,3.910743922, $35.20 ,TRUE,Black Friday,1,FALSE
171,24-12-2018,82,25,Male,City_20,780,Electronics,2, $48.78 , $97.56 ,Cash,TRUE,0, $97.56 ,FALSE,Christmas Market,4,TRUE
172,26-11-2023,14,46,Male,City_2,107,Decorations,2, $81.42 , $162.84 ,Cash,FALSE,16.28353795, $146.55 ,TRUE,Black Friday,1,TRUE
